University	Latitude	Longitude,	Country
#Anguilla	18.21	-63.05	Anguilla
#Faroe Islands	62.01	-6.76	Faroe Islands
#Japan	35.75	139.5	Japan
#Libya	32.9	13.18	Libya
#Tunesia	36.83	10.21	Tunesia
#Mongolia	47.9	106.86	Mongolia
#Liechtenstein	47.13	9.53	Liechtenstein
#Malta	35.9	14.53	Malta
#Seychelle	-4.63	55.46	Seychelle
#Austria	48.2	16.36	Austria
#Laos	17.96	102.6	Laos
#Lithuania	54.68	25.31	Lithuania
#New Zealand	-41.28	174.78	New Zealand
#Cocos Islands	-12.16	96.81	Cocos Islands
#Poland	52.25	21	Poland
#Netherland Antilles	12.2	-68.93	Netherland Antilles
#Namibia	-22.56	17.1	Namibia
#Cameroun	3.85	11.58	Cameroun
#Côte d'Ivoire	6.81	-5.28	Côte d'Ivoire
#Armenia	40.16	44.51	Armenia
#Croatia	45.8	15.96	Croatia
#United_States	38	-97	United States
Stanford	38	-97	United States
UCLA	34	-118.167	United States
SUNY	34	-118.167	United States
#U_S_A	38	-97	United States
#U_S	38	-97	United States
